Iter 1 Batch 253/3140: Error = 288.953461 ; Learning Rate = 0.001000	
Iter 1 Batch 254/3140: Error = 289.499115 ; Learning Rate = 0.001000	
Iter 1 Batch 255/3140: Error = 288.475403 ; Learning Rate = 0.001000	
Iter 1 Batch 256/3140: Error = 287.973389 ; Learning Rate = 0.001000	
Iter 1 Batch 257/3140: Error = 286.942993 ; Learning Rate = 0.001000	
Iter 1 Batch 258/3140: Error = 284.940063 ; Learning Rate = 0.001000	
Iter 1 Batch 259/3140: Error = 286.522461 ; Learning Rate = 0.001000	
Iter 1 Batch 260/3140: Error = 285.954407 ; Learning Rate = 0.001000	
Iter 1 Batch 261/3140: Error = 285.662781 ; Learning Rate = 0.001000	
Iter 1 Batch 262/3140: Error = 285.486725 ; Learning Rate = 0.001000	
Iter 1 Batch 263/3140: Error = 284.934113 ; Learning Rate = 0.001000	
Iter 1 Batch 264/3140: Error = 284.159088 ; Learning Rate = 0.001000	
Iter 1 Batch 265/3140: Error = 283.346375 ; Learning Rate = 0.001000	
Iter 1 Batch 266/3140: Error = 282.868958 ; Learning Rate = 0.001000	
Iter 1 Batch 267/3140: Error = 282.361145 ; Learning Rate = 0.001000	
Iter 1 Batch 268/3140: Error = 280.398773 ; Learning Rate = 0.001000	
Iter 1 Batch 269/3140: Error = 281.220825 ; Learning Rate = 0.001000	
Iter 1 Batch 270/3140: Error = 279.122375 ; Learning Rate = 0.001000	
Iter 1 Batch 271/3140: Error = 278.836243 ; Learning Rate = 0.001000	
Iter 1 Batch 272/3140: Error = 279.686798 ; Learning Rate = 0.001000	
Iter 1 Batch 273/3140: Error = 278.478973 ; Learning Rate = 0.001000	
Iter 1 Batch 274/3140: Error = 278.943909 ; Learning Rate = 0.001000	
Iter 1 Batch 275/3140: Error = 278.356628 ; Learning Rate = 0.001000	
Iter 1 Batch 276/3140: Error = 277.093811 ; Learning Rate = 0.001000	
Iter 1 Batch 277/3140: Error = 276.499115 ; Learning Rate = 0.001000	
Iter 1 Batch 278/3140: Error = 275.173218 ; Learning Rate = 0.001000	
Iter 1 Batch 279/3140: Error = 274.189667 ; Learning Rate = 0.001000	
Iter 1 Batch 280/3140: Error = 274.891785 ; Learning Rate = 0.001000	
Iter 1 Batch 281/3140: Error = 274.619568 ; Learning Rate = 0.001000	
Iter 1 Batch 282/3140: Error = 274.191284 ; Learning Rate = 0.001000	
Iter 1 Batch 283/3140: Error = 273.733154 ; Learning Rate = 0.001000	
Iter 1 Batch 284/3140: Error = 272.588501 ; Learning Rate = 0.001000	
Iter 1 Batch 285/3140: Error = 272.413330 ; Learning Rate = 0.001000	
Iter 1 Batch 286/3140: Error = 272.457611 ; Learning Rate = 0.001000	
Iter 1 Batch 287/3140: Error = 269.507324 ; Learning Rate = 0.001000	
Iter 1 Batch 288/3140: Error = 271.510468 ; Learning Rate = 0.001000	
Iter 1 Batch 289/3140: Error = 271.003967 ; Learning Rate = 0.001000	
Iter 1 Batch 290/3140: Error = 270.393646 ; Learning Rate = 0.001000	
Iter 1 Batch 291/3140: Error = 269.165863 ; Learning Rate = 0.001000	
Iter 1 Batch 292/3140: Error = 269.367432 ; Learning Rate = 0.001000	
Iter 1 Batch 293/3140: Error = 268.295105 ; Learning Rate = 0.001000	
Iter 1 Batch 294/3140: Error = 265.280670 ; Learning Rate = 0.001000	
Iter 1 Batch 295/3140: Error = 266.123077 ; Learning Rate = 0.001000	
Iter 1 Batch 296/3140: Error = 266.097015 ; Learning Rate = 0.001000	
Iter 1 Batch 297/3140: Error = 265.991791 ; Learning Rate = 0.001000	
Iter 1 Batch 298/3140: Error = 265.191315 ; Learning Rate = 0.001000	
Iter 1 Batch 299/3140: Error = 265.290955 ; Learning Rate = 0.001000	
Iter 1 Batch 300/3140: Error = 264.351807 ; Learning Rate = 0.001000	
Iter 1 Batch 301/3140: Error = 264.813049 ; Learning Rate = 0.001000	
Iter 1 Batch 302/3140: Error = 263.847290 ; Learning Rate = 0.001000	
Iter 1 Batch 303/3140: Error = 262.840637 ; Learning Rate = 0.001000	
Iter 1 Batch 304/3140: Error = 262.515564 ; Learning Rate = 0.001000	
Iter 1 Batch 305/3140: Error = 259.249756 ; Learning Rate = 0.001000	
Iter 1 Batch 306/3140: Error = 262.023590 ; Learning Rate = 0.001000	
Iter 1 Batch 307/3140: Error = 261.131836 ; Learning Rate = 0.001000	
Iter 1 Batch 308/3140: Error = 260.666809 ; Learning Rate = 0.001000	
Iter 1 Batch 309/3140: Error = 258.799194 ; Learning Rate = 0.001000	
Iter 1 Batch 310/3140: Error = 259.955048 ; Learning Rate = 0.001000	
Iter 1 Batch 311/3140: Error = 259.303101 ; Learning Rate = 0.001000	
